line,passage,group,plate,DO528nm,AVG_CTRL,Ratio
GBM626,10,CTRL,1,943,871,0.034493538
GBM626,10,CTRL,1,798,871,-0.038015264
GBM626,10,CTRL,1,816,871,-0.028327996
GBM626,10,CTRL,1,927,871,0.027061579
GBM626,10,BMP4 100,1,621,871,-0.146926555
GBM626,10,BMP4 100,1,665,871,-0.11719651
GBM626,10,BMP4 100,1,639,871,-0.134517297
GBM626,10,BMP4 100,1,341,871,-0.407263776
QNS486b,15,CTRL,1,1964,1759,0.047875644
QNS486b,15,CTRL,1,1686,1759,-0.018408269
QNS486b,15,CTRL,1,1633,1759,-0.032279655
QNS486b,15,CTRL,1,1753,1759,-0.001483923
QNS486b,15,BMP4 100,1,1141,1759,-0.187980195
QNS486b,15,BMP4 100,1,1114,1759,-0.198380649
QNS486b,15,BMP4 100,1,820,1759,-0.331451987
QNS486b,15,BMP4 100,1,983,1759,-0.252712322
GBM549,14,CTRL,1,1123,1118.5,0.001743768
GBM549,14,CTRL,1,1150,1118.5,0.012061852
GBM549,14,CTRL,1,1149,1118.5,0.01168404
GBM549,14,CTRL,1,1052,1118.5,-0.026620249
GBM549,14,BMP4 100,1,988,1118.5,-0.053879044
GBM549,14,BMP4 100,1,1041,1118.5,-0.031185259
GBM549,14,BMP4 100,1,827,1118.5,-0.131130479
GBM549,14,BMP4 100,1,920,1118.5,-0.084848161
QNS522b,11,CTRL,1,2062,1961.75,0.021645
QNS522b,11,CTRL,1,1859,1961.75,-0.023364272
QNS522b,11,CTRL,1,1992,1961.75,0.006645673
QNS522b,11,CTRL,1,1934,1961.75,-0.006187192
QNS522b,11,BMP4 100,1,2365,1961.75,0.081187484
QNS522b,11,BMP4 100,1,2132,1961.75,0.036143539
QNS522b,11,BMP4 100,1,2201,1961.75,0.049976381
QNS522b,11,BMP4 100,1,1806,1961.75,-0.035925915
QNS221,9,CTRL,1,2435,2324.75,0.020122709
QNS221,9,CTRL,1,2237,2324.75,-0.016710272
QNS221,9,CTRL,1,2163,2324.75,-0.031319737
QNS221,9,CTRL,1,2464,2324.75,0.025264447
QNS221,9,BMP4 100,1,1406,2324.75,-0.218390936
QNS221,9,BMP4 100,1,1357,2324.75,-0.233796409
QNS221,9,BMP4 100,1,1437,2324.75,-0.208919488
QNS221,9,BMP4 100,1,1345,2324.75,-0.237653972
QNS140,10,CTRL,1,1449,1445.75,0.000975184
QNS140,10,CTRL,1,1492,1445.75,0.013675622
QNS140,10,CTRL,1,1242,1445.75,-0.065971605
QNS140,10,CTRL,1,1600,1445.75,0.044026782
QNS140,10,BMP4 100,1,856,1445.75,-0.227619436
QNS140,10,BMP4 100,1,832,1445.75,-0.239969875
QNS140,10,BMP4 100,1,1104,1445.75,-0.117124128
QNS140,10,BMP4 100,1,1082,1445.75,-0.12586594
QNS120,13,CTRL,2,1592,1867.5,-0.069317547
QNS120,13,CTRL,2,2179,1867.5,0.06699662
QNS120,13,CTRL,2,1676,1867.5,-0.046986596
QNS120,13,CTRL,2,2023,1867.5,0.034735272
QNS120,13,BMP4 100,2,1019,1867.5,-0.263086427
QNS120,13,BMP4 100,2,1107,1867.5,-0.22711299
QNS120,13,BMP4 100,2,980,1867.5,-0.280034535
QNS120,13,BMP4 100,2,1107,1867.5,-0.22711299
QNS140,13,CTRL,2,1190,1308.75,-0.041309733
QNS140,13,CTRL,2,1273,1308.75,-0.012028291
QNS140,13,CTRL,2,1321,1308.75,0.004046123
QNS140,13,CTRL,2,1451,1308.75,0.044810718
QNS140,13,BMP4 100,2,851,1308.75,-0.186927135
QNS140,13,BMP4 100,2,798,1308.75,-0.214853803
QNS140,13,BMP4 100,2,922,1308.75,-0.152125774
QNS140,13,BMP4 100,2,858,1308.75,-0.183369407
QNS166,9,CTRL,2,666,670,-0.002600574
QNS166,9,CTRL,2,703,670,0.020880522
QNS166,9,CTRL,2,629,670,-0.027424157
QNS166,9,CTRL,2,682,670,0.007709572
QNS166,9,BMP4 100,2,485,670,-0.140333064
QNS166,9,BMP4 100,2,414,670,-0.209074462
QNS166,9,BMP4 100,2,390,670,-0.235010196
QNS166,9,BMP4 100,2,408,670,-0.21541464
QNS221,11,CTRL,2,949,993.25,-0.019792361
QNS221,11,CTRL,2,1075,993.25,0.034349891
QNS221,11,CTRL,2,969,993.25,-0.010734797
QNS221,11,CTRL,2,980,993.25,-0.005832498
QNS221,11,BMP4 100,2,879,993.25,-0.053069699
QNS221,11,BMP4 100,2,865,993.25,-0.060042466
QNS221,11,BMP4 100,2,722,993.25,-0.138521376
QNS221,11,BMP4 100,2,795,993.25,-0.096691445
QNS263,10,CTRL,2,758,793,-0.019603982
QNS263,10,CTRL,2,803,793,0.005442358
QNS263,10,CTRL,2,777,793,-0.008852169
QNS263,10,CTRL,2,834,793,0.021892863
QNS263,10,BMP4 100,2,655,793,-0.083031887
QNS263,10,BMP4 100,2,619,793,-0.107582538
QNS263,10,BMP4 100,2,614,793,-0.111104816
QNS263,10,BMP4 100,2,723,793,-0.04013489
QNS282,13,CTRL,2,1696,1751.25,-0.0139223
QNS282,13,CTRL,2,1572,1751.25,-0.046895607
QNS282,13,CTRL,2,1826,1751.25,0.018152625
QNS282,13,CTRL,2,1911,1751.25,0.037912539
QNS282,13,BMP4 100,2,1230,1751.25,-0.153443037
QNS282,13,BMP4 100,2,1257,1751.25,-0.144012871
QNS282,13,BMP4 100,2,1105,1751.25,-0.19998587
QNS282,13,BMP4 100,2,1100,1751.25,-0.201955463
QNS068,11,CTRL,3,435,471,-0.03453165
QNS068,11,CTRL,3,516,471,0.039628795
QNS068,11,CTRL,3,445,471,-0.024660896
QNS068,11,CTRL,3,488,471,0.015398915
QNS068,11,BMP4 100,3,473,471,0.001840234
QNS068,11,BMP4 100,3,648,471,0.138554099
QNS068,11,BMP4 100,3,483,471,0.010926224
QNS068,11,BMP4 100,3,581,471,0.091155225
QNS120,13,CTRL,3,1255,1415,-0.052112714
QNS120,13,CTRL,3,1547,1415,0.038733874
QNS120,13,CTRL,3,1366,1415,-0.015305741
QNS120,13,CTRL,3,1492,1415,0.023012383
QNS120,13,BMP4 100,3,728,1415,-0.288625061
QNS120,13,BMP4 100,3,777,1415,-0.260335421
QNS120,13,BMP4 100,3,719,1415,-0.29402755
QNS120,13,BMP4 100,3,936,1415,-0.179480591
QNS166,14,CTRL,3,497,582.5,-0.068939541
QNS166,14,CTRL,3,559,582.5,-0.017884122
QNS166,14,CTRL,3,631,582.5,0.03473343
QNS166,14,CTRL,3,643,582.5,0.042915043
QNS166,14,BMP4 100,3,548,582.5,-0.026515371
QNS166,14,BMP4 100,3,448,582.5,-0.114017916
QNS166,14,BMP4 100,3,531,582.5,-0.040201409
QNS166,14,BMP4 100,3,651,582.5,0.048285059
QNS221,11,CTRL,3,325,323.25,0.002344827
QNS221,11,CTRL,3,259,323.25,-0.096238769
QNS221,11,CTRL,3,352,323.25,0.03700413
QNS221,11,CTRL,3,357,323.25,0.043129683
QNS221,11,BMP4 100,3,363,323.25,0.050368091
QNS221,11,BMP4 100,3,332,323.25,0.01159955
QNS221,11,BMP4 100,3,335,323.25,0.015506273
QNS221,11,BMP4 100,3,465,323.25,0.157914419
QNS263,14,CTRL,3,931,959,-0.012868926
QNS263,14,CTRL,3,918,959,-0.018975926
QNS263,14,CTRL,3,922,959,-0.017087686
QNS263,14,CTRL,3,1065,959,0.045531001
QNS263,14,BMP4 100,3,811,959,-0.072797753
QNS263,14,BMP4 100,3,773,959,-0.093639113
QNS263,14,BMP4 100,3,874,959,-0.040307175
QNS263,14,BMP4 100,3,1322,959,0.139412848
QNS282,16,CTRL,3,1234,1405.5,-0.05651569
QNS282,16,CTRL,3,1349,1405.5,-0.0178189
QNS282,16,CTRL,3,1486,1405.5,0.024187959
QNS282,16,CTRL,3,1553,1405.5,0.043340606
QNS282,16,BMP4 100,3,1004,1405.5,-0.146097137
QNS282,16,BMP4 100,3,1065,1405.5,-0.120481242
QNS282,16,BMP4 100,3,1007,1405.5,-0.144801379
QNS282,16,BMP4 100,3,1526,1405.5,0.035723684
