cline,p,att,rep,group,Exp,dose,ncells,scene,ncolonies,pe,token,group_id
GBM1a,14,1,r01,CTRL,r01,0,200,1,41,0.205,GBM1a_CTRL_0,1
GBM1a,14,1,r01,CTRL,r02,0,200,16,49,0.245,GBM1a_CTRL_0,1
GBM1a,14,1,r01,CTRL,r03,0,200,17,41,0.205,GBM1a_CTRL_0,1
GBM1a,14,1,r01,CTRL,r04,0,200,32,43,0.215,GBM1a_CTRL_0,1
GBM1a,14,1,r01,CTRL,r05,0,200,33,47,0.235,GBM1a_CTRL_0,1
GBM1a,14,1,r01,CTRL,r06,0,200,48,57,0.285,GBM1a_CTRL_0,1
GBM1a,14,1,r01,CTRL,r01,2,200,1,2,0.01,GBM1a_CTRL_2,1
GBM1a,14,1,r01,CTRL,r02,2,200,16,0,0,GBM1a_CTRL_2,1
GBM1a,14,1,r01,CTRL,r03,2,200,17,8,0.04,GBM1a_CTRL_2,1
GBM1a,14,1,r01,CTRL,r04,2,200,32,17,0.085,GBM1a_CTRL_2,1
GBM1a,14,1,r01,CTRL,r05,2,200,33,6,0.03,GBM1a_CTRL_2,1
GBM1a,14,1,r01,CTRL,r06,2,200,48,20,0.1,GBM1a_CTRL_2,1
GBM1a,14,1,r01,CTRL,r01,4,400,1,6,0.015,GBM1a_CTRL_4,1
GBM1a,14,1,r01,CTRL,r02,4,400,16,10,0.025,GBM1a_CTRL_4,1
GBM1a,14,1,r01,CTRL,r03,4,400,17,7,0.0175,GBM1a_CTRL_4,1
GBM1a,14,1,r01,CTRL,r04,4,400,32,14,0.035,GBM1a_CTRL_4,1
GBM1a,14,1,r01,CTRL,r05,4,400,33,12,0.03,GBM1a_CTRL_4,1
GBM1a,14,1,r01,CTRL,r06,4,400,48,8,0.02,GBM1a_CTRL_4,1
GBM1a,14,1,r01,CTRL,r01,6,600,1,2,0.003333333,GBM1a_CTRL_6,1
GBM1a,14,1,r01,CTRL,r02,6,600,16,1,0.001666667,GBM1a_CTRL_6,1
GBM1a,14,1,r01,CTRL,r03,6,600,17,0,0,GBM1a_CTRL_6,1
GBM1a,14,1,r01,CTRL,r04,6,600,32,0,0,GBM1a_CTRL_6,1
GBM1a,14,1,r01,CTRL,r05,6,600,33,4,0.006666667,GBM1a_CTRL_6,1
GBM1a,14,1,r01,CTRL,r06,6,600,48,1,0.001666667,GBM1a_CTRL_6,1
GBM1a,14,1,r01,CTRL,r01,8,800,1,0,0,GBM1a_CTRL_8,1
GBM1a,14,1,r01,CTRL,r02,8,800,16,0,0,GBM1a_CTRL_8,1
GBM1a,14,1,r01,CTRL,r03,8,800,17,0,0,GBM1a_CTRL_8,1
GBM1a,14,1,r01,CTRL,r04,8,800,32,0,0,GBM1a_CTRL_8,1
GBM1a,14,1,r01,CTRL,r05,8,800,33,0,0,GBM1a_CTRL_8,1
GBM1a,14,1,r01,CTRL,r06,8,800,48,0,0,GBM1a_CTRL_8,1
GBM1a,14,1,r01,CTRL,r01,10,1000,1,0,0,GBM1a_CTRL_10,1
GBM1a,14,1,r01,CTRL,r02,10,1000,16,0,0,GBM1a_CTRL_10,1
GBM1a,14,1,r01,CTRL,r03,10,1000,17,0,0,GBM1a_CTRL_10,1
GBM1a,14,1,r01,CTRL,r04,10,1000,32,0,0,GBM1a_CTRL_10,1
GBM1a,14,1,r01,CTRL,r05,10,1000,33,0,0,GBM1a_CTRL_10,1
GBM1a,14,1,r01,CTRL,r06,10,1000,48,0,0,GBM1a_CTRL_10,1
GBM1a,14,1,r01,FBS,r01,0,200,2,56,0.28,GBM1a_FBS_0,2
GBM1a,14,1,r01,FBS,r02,0,200,15,51,0.255,GBM1a_FBS_0,2
GBM1a,14,1,r01,FBS,r03,0,200,18,50,0.25,GBM1a_FBS_0,2
GBM1a,14,1,r01,FBS,r04,0,200,31,49,0.245,GBM1a_FBS_0,2
GBM1a,14,1,r01,FBS,r05,0,200,34,54,0.27,GBM1a_FBS_0,2
GBM1a,14,1,r01,FBS,r06,0,200,47,72,0.36,GBM1a_FBS_0,2
GBM1a,14,1,r01,FBS,r01,2,200,2,11,0.055,GBM1a_FBS_2,2
GBM1a,14,1,r01,FBS,r02,2,200,15,6,0.03,GBM1a_FBS_2,2
GBM1a,14,1,r01,FBS,r03,2,200,18,11,0.055,GBM1a_FBS_2,2
GBM1a,14,1,r01,FBS,r04,2,200,31,8,0.04,GBM1a_FBS_2,2
GBM1a,14,1,r01,FBS,r05,2,200,34,13,0.065,GBM1a_FBS_2,2
GBM1a,14,1,r01,FBS,r06,2,200,47,11,0.055,GBM1a_FBS_2,2
GBM1a,14,1,r01,FBS,r01,4,400,2,8,0.02,GBM1a_FBS_4,2
GBM1a,14,1,r01,FBS,r02,4,400,15,15,0.0375,GBM1a_FBS_4,2
GBM1a,14,1,r01,FBS,r03,4,400,18,7,0.0175,GBM1a_FBS_4,2
GBM1a,14,1,r01,FBS,r04,4,400,31,12,0.03,GBM1a_FBS_4,2
