cline,rep,group,Exp,dose,ncells,ncolonies
GBM1a,1,CTRL,r01,0,200,41
GBM1a,1,CTRL,r02,0,200,49
GBM1a,1,CTRL,r03,0,200,41
GBM1a,1,CTRL,r04,0,200,43
GBM1a,1,CTRL,r05,0,200,47
GBM1a,1,CTRL,r06,0,200,57
GBM1a,1,CTRL,r01,2,200,2
GBM1a,1,CTRL,r03,2,200,8
GBM1a,1,CTRL,r05,2,200,6
GBM1a,1,CTRL,r01,4,400,6
GBM1a,1,CTRL,r03,4,400,7
GBM1a,1,CTRL,r04,4,400,14
GBM1a,1,CTRL,r05,4,400,12
GBM1a,1,CTRL,r06,4,400,8
GBM1a,1,CTRL,r01,6,600,2
GBM1a,1,CTRL,r02,6,600,1
GBM1a,1,CTRL,r05,6,600,4
GBM1a,1,CTRL,r06,6,600,1
GBM1a,1,FBS,r01,0,200,56
GBM1a,1,FBS,r02,0,200,51
GBM1a,1,FBS,r04,0,200,49
GBM1a,1,FBS,r05,0,200,54
GBM1a,1,FBS,r01,2,200,11
GBM1a,1,FBS,r02,2,200,6
GBM1a,1,FBS,r03,2,200,11
GBM1a,1,FBS,r04,2,200,8
GBM1a,1,FBS,r05,2,200,13
GBM1a,1,FBS,r06,2,200,11
GBM1a,1,FBS,r01,4,400,8
GBM1a,1,FBS,r02,4,400,15
GBM1a,1,FBS,r03,4,400,7
GBM1a,1,FBS,r04,4,400,12
GBM1a,1,FBS,r06,4,400,8
GBM1a,1,FBS,r01,6,600,1
GBM1a,1,FBS,r03,6,600,1
GBM1a,1,FBS,r04,6,600,1
GBM1a,1,FBS,r05,6,600,1
GBM1a,1,FBS,r06,6,600,3
GBM1a,1,MSC-EV,r01,0,200,51
GBM1a,1,MSC-EV,r02,0,200,54
GBM1a,1,MSC-EV,r04,0,200,67
GBM1a,1,MSC-EV,r05,0,200,54
GBM1a,1,MSC-EV,r06,0,200,59
GBM1a,1,MSC-EV,r04,2,200,12
GBM1a,1,MSC-EV,r06,2,200,16
GBM1a,1,MSC-EV,r01,4,400,6
GBM1a,1,MSC-EV,r03,4,400,8
GBM1a,1,MSC-EV,r04,4,400,8
GBM1a,1,MSC-EV,r05,4,400,7
GBM1a,1,MSC-EV,r06,4,400,5
GBM1a,1,MSC-EV,r01,6,600,1
GBM1a,1,MSC-EV,r03,6,600,2
GBM1a,1,MSC-EV,r06,6,600,1
GBM1a,1,BMP4,r01,0,200,61
GBM1a,1,BMP4,r02,0,200,59
GBM1a,1,BMP4,r03,0,200,62
GBM1a,1,BMP4,r04,0,200,71
GBM1a,1,BMP4,r05,0,200,73
GBM1a,1,BMP4,r06,0,200,59
GBM1a,1,BMP4,r02,2,200,15
GBM1a,1,BMP4,r03,2,200,23
GBM1a,1,BMP4,r06,2,200,16
GBM1a,1,BMP4,r02,4,400,6
GBM1a,1,BMP4,r04,4,400,6
GBM1a,1,BMP4,r03,6,600,1
GBM1a,1,BMP4,r05,6,600,1
GBM1a,1,BMP4,r06,6,600,2
GBM1a,1,MSC-BMP4,r01,0,200,57
GBM1a,1,MSC-BMP4,r03,0,200,71
GBM1a,1,MSC-BMP4,r04,0,200,57
GBM1a,1,MSC-BMP4,r05,0,200,65
GBM1a,1,MSC-BMP4,r06,0,200,64
GBM1a,1,MSC-BMP4,r02,2,200,17
GBM1a,1,MSC-BMP4,r03,2,200,11
GBM1a,1,MSC-BMP4,r04,2,200,15
GBM1a,1,MSC-BMP4,r05,2,200,14
GBM1a,1,MSC-BMP4,r06,2,200,16
GBM1a,1,MSC-BMP4,r01,4,400,8
GBM1a,1,MSC-BMP4,r04,4,400,7
GBM1a,1,MSC-BMP4,r05,4,400,7
GBM1a,1,MSC-BMP4,r06,4,400,6
GBM1a,2,BMP4,r02,0,200,22
GBM1a,2,BMP4,r03,0,200,26
GBM1a,2,BMP4,r04,0,200,34
GBM1a,2,BMP4,r05,0,200,34
GBM1a,2,BMP4,r01,2,200,12
GBM1a,2,BMP4,r04,2,200,12
GBM1a,2,BMP4,r06,2,200,8
GBM1a,2,BMP4,r02,6,800,1
GBM1a,2,BMP4,r02,4,400,1
GBM1a,2,BMP4,r03,4,400,1
GBM1a,2,BMP4,r04,4,400,1
GBM1a,2,CTRL,r03,0,200,72
GBM1a,2,CTRL,r01,2,200,47
GBM1a,2,CTRL,r02,2,200,31
GBM1a,2,CTRL,r03,2,200,36
GBM1a,2,CTRL,r04,2,200,42
GBM1a,2,CTRL,r05,2,200,39
GBM1a,2,CTRL,r01,6,800,8
GBM1a,2,CTRL,r02,6,800,7
GBM1a,2,CTRL,r03,6,800,2
GBM1a,2,CTRL,r04,6,800,5
GBM1a,2,CTRL,r05,6,800,2
GBM1a,2,CTRL,r06,6,800,2
GBM1a,2,CTRL,r01,4,400,16
GBM1a,2,CTRL,r02,4,400,11
GBM1a,2,CTRL,r04,4,400,16
GBM1a,2,CTRL,r05,4,400,14
GBM1a,2,CTRL,r06,4,400,15
GBM1a,2,MSC-EV,r01,0,200,46
GBM1a,2,MSC-EV,r02,0,200,43
GBM1a,2,MSC-EV,r03,0,200,52
GBM1a,2,MSC-EV,r04,0,200,35
