cline,rep,group,Exp,dose,ncells,ncolonies,pe,norm_pe
GBM1a,1.0,CTRL,r01,0.0,200.0,41.0,0.205,0.8848920863309352
GBM1a,1.0,CTRL,r02,0.0,200.0,49.0,0.245,1.0575539568345325
GBM1a,1.0,CTRL,r03,0.0,200.0,41.0,0.205,0.8848920863309352
GBM1a,1.0,CTRL,r04,0.0,200.0,43.0,0.215,0.9280575539568345
GBM1a,1.0,CTRL,r05,0.0,200.0,47.0,0.235,1.014388489208633
GBM1a,1.0,CTRL,r06,0.0,200.0,57.0,0.285,1.2302158273381294
GBM1a,1.0,CTRL,r01,2.0,200.0,2.0,0.01,0.04316546762589928
GBM1a,1.0,CTRL,r03,2.0,200.0,8.0,0.04,0.17266187050359713
GBM1a,1.0,CTRL,r05,2.0,200.0,6.0,0.03,0.12949640287769784
GBM1a,1.0,CTRL,r01,4.0,400.0,6.0,0.015,0.06474820143884892
GBM1a,1.0,CTRL,r03,4.0,400.0,7.0,0.0175,0.07553956834532376
GBM1a,1.0,CTRL,r04,4.0,400.0,14.0,0.035,0.15107913669064751
GBM1a,1.0,CTRL,r05,4.0,400.0,12.0,0.03,0.12949640287769784
GBM1a,1.0,CTRL,r06,4.0,400.0,8.0,0.02,0.08633093525179857
GBM1a,1.0,CTRL,r01,6.0,600.0,2.0,0.0033333333333333335,0.014388489208633094
GBM1a,1.0,CTRL,r02,6.0,600.0,1.0,0.0016666666666666668,0.007194244604316547
GBM1a,1.0,CTRL,r05,6.0,600.0,4.0,0.006666666666666667,0.02877697841726619
GBM1a,1.0,CTRL,r06,6.0,600.0,1.0,0.0016666666666666668,0.007194244604316547
GBM1a,1.0,FBS,r01,0.0,200.0,56.0,0.28,1.0666666666666667
GBM1a,1.0,FBS,r02,0.0,200.0,51.0,0.255,0.9714285714285714
GBM1a,1.0,FBS,r04,0.0,200.0,49.0,0.245,0.9333333333333332
GBM1a,1.0,FBS,r05,0.0,200.0,54.0,0.27,1.0285714285714287
GBM1a,1.0,FBS,r01,2.0,200.0,11.0,0.055,0.20952380952380953
GBM1a,1.0,FBS,r02,2.0,200.0,6.0,0.03,0.11428571428571428
GBM1a,1.0,FBS,r03,2.0,200.0,11.0,0.055,0.20952380952380953
GBM1a,1.0,FBS,r04,2.0,200.0,8.0,0.04,0.15238095238095237
GBM1a,1.0,FBS,r05,2.0,200.0,13.0,0.065,0.24761904761904763
GBM1a,1.0,FBS,r06,2.0,200.0,11.0,0.055,0.20952380952380953
GBM1a,1.0,FBS,r01,4.0,400.0,8.0,0.02,0.07619047619047618
GBM1a,1.0,FBS,r02,4.0,400.0,15.0,0.0375,0.14285714285714285
GBM1a,1.0,FBS,r03,4.0,400.0,7.0,0.0175,0.06666666666666667
GBM1a,1.0,FBS,r04,4.0,400.0,12.0,0.03,0.11428571428571428
GBM1a,1.0,FBS,r06,4.0,400.0,8.0,0.02,0.07619047619047618
GBM1a,1.0,FBS,r01,6.0,600.0,1.0,0.0016666666666666668,0.006349206349206349
GBM1a,1.0,FBS,r03,6.0,600.0,1.0,0.0016666666666666668,0.006349206349206349
